data,deputy,link,assets
2017-04-07T00:00:00,Загорій Гліб Володимирович,https://declarations.com.ua/declaration/nacp_641f5b71-4800-447b-8090-8949b1210a66,214 743 586  
2017-03-31T00:00:00,Заліщук Світлана Петрівна,https://declarations.com.ua/declaration/nacp_33a6700d-b33c-4614-b086-1c130f24a8af,38 541  
2017-04-02T00:00:00,Заставний Роман Йосипович,https://declarations.com.ua/declaration/nacp_bc6a61f7-20b7-4259-8f5a-fe952650caa6,10 876 937  
2017-03-29T00:00:00,Звягільський Юхим Леонідович,https://declarations.com.ua/declaration/nacp_e311b3e4-14f3-40f8-ac5b-47c12b0144e3,125 474 371  
2017-03-29T00:00:00,Зубач Любомир Львович,https://declarations.com.ua/declaration/nacp_38c13dfb-002a-4a03-a6dd-8abc70c75922,724 502  
2017-03-30T00:00:00,Зубик Володимир Володимирович,https://declarations.com.ua/declaration/nacp_d465d1ec-6aef-4a44-be36-8be13b163a75,3 710 485  
2017-03-29T00:00:00,Іванчук Андрій Володимирович,https://declarations.com.ua/declaration/nacp_589f383a-d5aa-4ab5-9604-a2a77d00206c,51 517 994  
2017-04-01T00:00:00,Івахів Степан Петрович,https://declarations.com.ua/declaration/nacp_bdea18e3-0735-4127-8627-93799f06d230,106 185 415  
2017-03-24T00:00:00,Івченко Вадим Євгенович,https://declarations.com.ua/declaration/nacp_89c9c300-2d58-4ec0-b5ef-25a1f1f73db1,3 205 019  
2017-03-25T00:00:00,Іллєнко Андрій Юрійович,https://declarations.com.ua/declaration/nacp_f9ead359-997d-4206-8f41-4698c1ae55af,738 693  
2017-03-31T00:00:00,Ільюк Артем Олександрович,https://declarations.com.ua/declaration/nacp_d7747285-2ef0-48f9-97a6-7f36ceee00ff,22 295 841  
2017-03-31T00:00:00,Іонова Марія Миколаївна,https://declarations.com.ua/declaration/nacp_80d5cc11-c8a2-4b02-ade8-42ab7c1bfee6,1 065 549  
2017-03-14T00:00:00,Іоффе Юлій Якович,https://declarations.com.ua/declaration/nacp_2aeb21bf-519f-4bed-89b2-3c197dc70dd4,25 837 294  
2017-03-29T00:00:00,Іщейкін Костянтин Євгенович,https://declarations.com.ua/declaration/nacp_323f4d4f-f3be-44b9-a77a-117ee767d3f9,16 629 657  
2017-03-31T00:00:00,Іщенко Валерій Олександрович,https://declarations.com.ua/declaration/nacp_79cfeef7-574a-4ea6-96a0-8b89a6d7710c,17 892 971  
2017-02-22T00:00:00,Кадикало Микола Олегович,https://declarations.com.ua/declaration/nacp_ee0493dd-cd18-41a6-bf2a-483ccacf054f,1 632 641  
2017-03-30T00:00:00,Каплін Сергій Миколайович,https://declarations.com.ua/declaration/nacp_e320accb-70ce-44a3-ba6a-8a622a569550,0
2017-03-29T00:00:00,Карпунцов Валерій Віталійович,https://declarations.com.ua/declaration/nacp_14248799-3528-4e91-96af-e599689c3b57,6 914 441  
2017-03-29T00:00:00,Кацер-Бучковська Наталія Володимирівна,https://declarations.com.ua/declaration/nacp_0f903232-828f-412b-a7c0-bcc9a289b400,4 137 280  
2017-03-30T00:00:00,Кацуба Володимир Михайлович,https://declarations.com.ua/declaration/nacp_5ce5a47f-34a4-407e-bd20-f13258daed13,23 096 109  
2017-03-27T00:00:00,Кириленко Іван Григорович,https://declarations.com.ua/declaration/nacp_a86481cd-c710-4604-9751-feb53a7808fa,1 486 213  
2017-03-30T00:00:00,Кириченко Олексій Миколайович,https://declarations.com.ua/declaration/nacp_2f174c8a-737a-48be-a450-ee1e5eaa6133,6 401 007  
2017-03-29T00:00:00,Кишкар Павло Миколайович,https://declarations.com.ua/declaration/nacp_fd4841c0-3a70-4368-8376-dbdae0d34748,73 431  
2017-03-23T00:00:00,Ківалов Сергій Васильович,https://declarations.com.ua/declaration/nacp_da56a1cc-16f1-4458-9f82-95e051340761,59 159 934  
2017-03-29T00:00:00,Кіраль Сергій Іванович,https://declarations.com.ua/declaration/nacp_1e08cc57-0e64-477b-85ff-de5efd31f895,256 940  
2017-03-21T00:00:00,Кірш Олександр Вікторович,https://declarations.com.ua/declaration/nacp_c04be579-b97a-4173-ad3b-4228c9efda59,346 287  
2017-03-19T00:00:00,Кісельов Андрій Миколайович,https://declarations.com.ua/declaration/nacp_192781be-af55-4724-94cc-d46b7394eeff,27 366 757  
2017-04-06T00:00:00,Кіссе Антон Іванович,https://declarations.com.ua/declaration/nacp_8d7092d6-4afd-4fc6-84c2-cf95667e4d4f,42 106 832  
2017-03-29T00:00:00,Кіт Андрій Богданович,https://declarations.com.ua/declaration/nacp_f3d03d16-77e6-4114-806b-a328cf96ce7a,2 350 000  
2017-03-29T00:00:00,Клімов Леонід Михайлович,https://declarations.com.ua/declaration/nacp_7f2b4d57-355a-4b7a-9d57-8d1d9d55c911,3 983 695  
2017-03-07T00:00:00,Княжицький Микола Леонідович,https://declarations.com.ua/declaration/nacp_a9020ef5-eb29-4cde-85bf-cbb26c03a721,29 324 122  
2017-03-20T00:00:00,Князевич Руслан Петрович,https://declarations.com.ua/declaration/nacp_1529a5c8-8f19-438b-b6f5-e897dfd17e9c,1 471 609  
2017-03-20T00:00:00,Кобцев Михайло Валентинович,https://declarations.com.ua/declaration/nacp_74ebfcec-15f8-4f77-8f3d-517ccd718176,28 263 353  
2017-03-25T00:00:00,Кодола Олександр Михайлович,https://declarations.com.ua/declaration/nacp_4c0a4bad-2172-4137-825d-bb2fe9da1cfc,2 393 943  
